年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2017,建築物管理員_保全及警衛人員,不動產開發業,121,38873,34508,4365
2017,技藝_機械設備操作及組裝人員,不動產開發業,1011,42885,41872,1013
2017,園藝及農牧業生產人員,不動產開發業,—,—,—,—
2017,營建木作人員,不動產開發業,244,43900,43701,199
2017,其他營建構造人員(含鷹架工),不動產開發業,71,22810,22810,—
2017,泥作工作人員,不動產開發業,75,29314,29314,—
2017,建築物電力系統裝修人員(含水電工),不動產開發業,…,…,…,…
2017,電力機械裝修人員,不動產開發業,—,—,—,—
2017,軌道車輛駕駛人員,不動產開發業,—,—,—,—
2017,軌道制動器_號誌及轉轍器操作員,不動產開發業,—,—,—,—
2017,小客_貨車駕駛人員,不動產開發業,348,44583,42669,1914
2017,大客_貨車駕駛人員,不動產開發業,…,…,…,…
2017,推土_吊車_起重機等移運設備操作人員,不動產開發業,—,—,—,—
2017,基層技術工及勞力工,不動產開發業,683,31152,30125,1027
2017,清潔及家事工作人員(含建築清潔工),不動產開發業,608,31182,30028,1154
2017,勞力工,不動產開發業,75,30906,30906,—
2017,不動產經營及相關服務業,不動產經營及相關服務業,71369,35551,32843,2708
2017,主管及監督人員,不動產經營及相關服務業,9321,49609,47681,1928
2017,高階主管(總經理及總執行長),不動產經營及相關服務業,194,129144,129144,—
2017,中階主管(經理),不動產經營及相關服務業,995,73601,73341,260
2017,監督人員(含現場及辦公室主任_科/股長),不動產經營及相關服務業,8132,44776,42598,2178
2017,專業人員,不動產經營及相關服務業,2970,42366,41307,1059
2017,農_林_漁_牧業專業人員,不動產經營及相關服務業,20,55458,54150,1308
2017,土木及水利工程師,不動產經營及相關服務業,16,60703,60703,—
2017,環境工程師,不動產經營及相關服務業,—,—,—,—
2017,電機工程師,不動產經營及相關服務業,8,59329,59329,—
2017,建築工程師(含建築師),不動產經營及相關服務業,…,…,…,…
2017,景觀設計師,不動產經營及相關服務業,…,…,…,…
2017,測量師及製圖師,不動產經營及相關服務業,…,…,…,…
2017,室內設計師,不動產經營及相關服務業,—,—,—,—
2017,平面及多媒體設計師,不動產經營及相關服務業,82,39124,39124,—
2017,勞安及衛生管理人員(含工業安全管理師),不動產經營及相關服務業,20,65913,63888,2025
2017,會(審)計師(含會計稽核),不動產經營及相關服務業,25,60209,58573,1636
2017,財務_經濟及投資分析研究人員,不動產經營及相關服務業,56,48353,48058,295
2017,專案管理師(含經營管理顧問),不動產經營及相關服務業,328,52002,52002,—
2017,稽核人員,不動產經營及相關服務業,—,—,—,—
2017,人力資源管理師,不動產經營及相關服務業,85,48346,47027,1319
2017,廣告及行銷專業人員(含企劃),不動產經營及相關服務業,1943,37290,35847,1443
2017,公關專業人員,不動產經營及相關服務業,107,50056,50056,—
2017,資訊系統分析及設計師,不動產經營及相關服務業,57,60269,60269,—
2017,軟體開發及程式設計師,不動產經營及相關服務業,152,57274,57274,—
2017,資料庫及網路專業人員,不動產經營及相關服務業,36,49065,49065,—
2017,律師及相關專業人員,不動產經營及相關服務業,—,—,—,—
2017,技術員及助理專業人員,不動產經營及相關服務業,31142,38141,34943,3198
2017,營建工程技術員(含建築_土木_景觀_測量_水利),不動產經營及相關服務業,419,50681,48327,2354
2017,電機技術員,不動產經營及相關服務業,59,52565,50618,1947
2017,製圖員,不動產經營及相關服務業,—,—,—,—
2017,環境工程技術員,不動產經營及相關服務業,—,—,—,—
2017,農業技術及農業推廣人員,不動產經營及相關服務業,317,58577,54013,4564
2017,勞安及衛生技術員,不動產經營及相關服務業,…,…,…,…
2017,會計人員,不動產經營及相關服務業,340,42711,39969,2742
2017,財物及損失鑑價人員,不動產經營及相關服務業,474,46935,41466,5469
2017,工商業銷售代表(含業務員),不動產經營及相關服務業,1018,36119,36119,—
2017,採購員,不動產經營及相關服務業,39,58982,58982,—
2017,會議及活動規劃人員,不動產經營及相關服務業,…,…,…,…
2017,不動產經紀人,不動產經營及相關服務業,27115,37861,34412,3449
2017,專業秘書,不動產經營及相關服務業,597,32604,32604,—
2017,土地代書(地政士),不動產經營及相關服務業,…,…,…,…
2017,法務人員,不動產經營及相關服務業,115,38210,38210,—
2017,資訊管理及維護技術員,不動產經營及相關服務業,474,27641,27641,—
2017,事務支援人員,不動產經營及相關服務業,22252,27774,25018,2756
2017,總務,不動產經營及相關服務業,2736,37137,33814,3323
2017,一般辦公室事務人員(含文書),不動產經營及相關服務業,10965,27361,23281,4080
2017,資料輸入人員,不動產經營及相關服務業,493,19701,18230,1471
2017,收帳_收費人員(含帳款催收),不動產經營及相關服務業,597,35298,30928,4370
2017,接待員及服務台事務人員,不動產經營及相關服務業,551,22981,20462,2519
2017,總機人員,不動產經營及相關服務業,922,23186,21938,1248
2017,統計調查訪談人員,不動產經營及相關服務業,…,…,…,…
2017,會計助理_簿記_出納,不動產經營及相關服務業,4999,24635,24485,150
2017,存貨事務人員,不動產經營及相關服務業,303,41502,39845,1657
2017,生產及物料規劃事務人員,不動產經營及相關服務業,—,—,—,—
2017,人事事務人員,不動產經營及相關服務業,586,21850,21850,—
2017,服務及銷售工作人員,不動產經營及相關服務業,2905,26461,24871,1590
2017,導遊_領隊及解說員,不動產經營及相關服務業,…,…,…,…
2017,廚師,不動產經營及相關服務業,…,…,…,…
2017,餐飲服務人員,不動產經營及相關服務業,…,…,…,…
2017,商店銷售人員(含百貨公司樓管人員),不動產經營及相關服務業,…,…,…,…
2017,收銀員及售票員,不動產經營及相關服務業,…,…,…,…
2017,展售說明人員,不動產經營及相關服務業,…,…,…,…
2017,建築物管理員_保全及警衛人員,不動產經營及相關服務業,1268,29150,28067,1083
2017,技藝_機械設備操作及組裝人員,不動產經營及相關服務業,372,34218,31573,2645
2017,園藝及農牧業生產人員,不動產經營及相關服務業,31,31044,30773,271
2017,營建木作人員,不動產經營及相關服務業,…,…,…,…
2017,其他營建構造人員(含鷹架工),不動產經營及相關服務業,—,—,—,—
2017,泥作工作人員,不動產經營及相關服務業,—,—,—,—
2017,建築物電力系統裝修人員(含水電工),不動產經營及相關服務業,33,32366,32366,—
2017,電力機械裝修人員,不動產經營及相關服務業,134,31999,28359,3640
2017,軌道車輛駕駛人員,不動產經營及相關服務業,12,60547,51710,8837
2017,軌道制動器_號誌及轉轍器操作員,不動產經營及相關服務業,…,…,…,…
2017,小客_貨車駕駛人員,不動產經營及相關服務業,151,34610,32435,2175
2017,大客_貨車駕駛人員,不動產經營及相關服務業,…,…,…,…
2017,推土_吊車_起重機等移運設備操作人員,不動產經營及相關服務業,…,…,…,…
2017,基層技術工及勞力工,不動產經營及相關服務業,2407,22265,19928,2337
2017,清潔及家事工作人員(含建築清潔工),不動產經營及相關服務業,1543,22856,20673,2183
2017,勞力工,不動產經營及相關服務業,864,21209,18597,2612
